type,interval_seconds
all_interactions,0.645
all_interactions,1.95
all_interactions,0.712
all_interactions,0.686
all_interactions,1.622
all_interactions,2.115
all_interactions,2.787
all_interactions,1.929
all_interactions,1.107
all_interactions,0.651
all_interactions,2.849
all_interactions,0.56
all_interactions,1.486
all_interactions,4.519
all_interactions,0.577
all_interactions,0.698
all_interactions,2.083
all_interactions,0.286
all_interactions,0.892
all_interactions,4.404
all_interactions,0.596
all_interactions,0.86
all_interactions,0.523
all_interactions,4.792
all_interactions,1.55
all_interactions,0.578
all_interactions,1.038
all_interactions,0.737
all_interactions,1.463
all_interactions,0.817
all_interactions,0.917
all_interactions,1.4
all_interactions,1.533
all_interactions,0.084
all_interactions,1.147
all_interactions,0.7
all_interactions,1.186
all_interactions,2.182
all_interactions,1.652
all_interactions,0.8
all_interactions,1.319
all_interactions,3.595
all_interactions,0.584
all_interactions,0.617
all_interactions,1.201
all_interactions,0.97
all_interactions,0.564
all_interactions,9.983
all_interactions,2.575
all_interactions,0.712
all_interactions,1.93
all_interactions,1.947
all_interactions,2.036
all_interactions,1.199
all_interactions,1.689
all_interactions,0.522
all_interactions,2.115
all_interactions,0.017
all_interactions,0.683
all_interactions,1.158
all_interactions,1.082
all_interactions,1.319
all_interactions,0.95
all_interactions,1.065
all_interactions,0.867
all_interactions,1.285
all_interactions,1.167
all_interactions,0.752
all_interactions,2.033
all_interactions,0.894
all_interactions,0.699
all_interactions,2.117
all_interactions,0.905
all_interactions,3.077
all_interactions,2.342
all_interactions,6.36
all_interactions,0.582
all_interactions,0.533
all_interactions,0.951
all_interactions,3.153
all_interactions,1.034
all_interactions,0.866
all_interactions,0.324
all_interactions,1.066
all_interactions,2.472
all_interactions,1.568
all_interactions,1.066
all_interactions,3.111
all_interactions,2.799
all_interactions,1.424
all_interactions,6.17
all_interactions,1.329
all_interactions,3.468
all_interactions,0.876
all_interactions,0.934
all_interactions,4.542
all_interactions,0.198
all_interactions,7.272
all_interactions,2.004
